7zip 25.01-1
python-fastjsonschema 2.21.2-1
python-gobject 3.54.5-1
python-greenlet 3.2.4-1
python-i3ipc 2.2.1-8
python-idna 3.11-1
python-lark-parser 1.3.0-1
python-lxml 6.0.2-1
python-moddb 0.14.0-1
python-msgpack 1.0.5-3
python-packaging 25.0-1
python-pillow 12.0.0-1
python-poetry-core 2.2.1-1
python-psutil 7.1.1-1
python-pycups 2.0.4-3
python-pynvim 0.6.0-1
python-pyudev 0.24.3-2
python-pyxdg 0.28-4
python-requests 2.32.5-1
python-setproctitle 1.3.7-1
python-shtab 1.7.2-1
python-six 1.17.0-1
python-soupsieve 2.8-1
python-termcolor 3.1.0-1
python-terminaltexteffects 0.12.0-1
python-tqdm 4.67.1-2
python-typing_extensions 4.15.0-1
python-urllib3 2.5.0-2
python-xlib 0.33-4
python-yaml 6.0.3-1
qca-qt6 2.3.10-3
qpdf 12.2.0-1
qqc2-desktop-style 6.19.0-1
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.17+kde+r123-2
qt5-declarative 5.15.17+kde+r21-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.10.0-1
qt6-base 6.10.0-2
qt6-connectivity 6.10.0-1
qt6-declarative 6.10.0-2
qt6-imageformats 6.10.0-1
qt6-multimedia 6.10.0-2
qt6-multimedia-ffmpeg 6.10.0-2
qt6-networkauth 6.10.0-1
qt6-positioning 6.10.0-1
qt6-shadertools 6.10.0-1
qt6-speech 6.10.0-1
qt6-svg 6.10.0-1
qt6-tools 6.10.0-2
qt6-translations 6.10.0-1
qt6-wayland 6.10.0-1
qt6-webchannel 6.10.0-1
qt6-webengine 6.10.0-1
raptor 2.0.16-8
rasqal 1:0.9.33-7
rav1e 0.8.1-2
rclone 1.71.2-1
re2 1:20240702-7
readline 8.3.001-1
redland 1:1.0.17-9
rhash 1.4.6-1
ripgrep 15.1.0-1
rnnoise 1:0.2-1
rpi-imager-git 1.9.6.r252.g2cdf4d6f-1
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
run-parts 5.23.2-1
runc 1.3.2-1
rust 1:1.90.0-4
satty 0.20.0-1
sbc 2.1-1
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sdl2-compat 2.32.56-2
sdl3 3.2.24-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.4-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
signon-kwallet-extension 25.08.2-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simde 0.8.2-1
simdjson 1:4.0.7-1
slurp 1.5.0-1
smbclient 2:4.23.2-1
snapper 0.13.0-2
